Time,Device ID,WCenter Lat,WCenter Lon,WCenter Alt,SSID,MAC,Ferquency,Signal
"",Device ID: LMY47V
Fri Dec 01 10:55:00 IST 2017,,34.81066503,32.16917019,28.77355504,edimax_2.4G_ruty,74:da:38:d3:bb:81,model=SM-G950F_device=dreamlte,-80
Fri Dec 01 10:56:00 IST 2017,,34.81065234,32.16916884,31.0,Home,10:be:f5:40:26:82,model=Lenovo,-89
Fri Dec 01 10:56:00 IST 2017,,34.81057719797345,32.16896946683166,34.084804406157325,OberynMartell,18:d6:c7:fb:1c:0e,PB2-690Y_device=PB2PRO,-89
Fri Dec 01 10:56:00 IST 2017,,34.81061952,32.16901232,28.06850525,HP-Print-C1-Deskjet4640series,28:80:23:f6:e0:c1,model=SM-G950F_device=dreamlte,-81
Fri Dec 01 10:56:00 IST 2017,,34.810599893644785,32.16885466674291,25.21295586081863,simon,e4:6f:13:73:0a:c2,model=Lenovo,-90
Fri Dec 01 10:56:00 IST 2017,,34.81057059,32.16888141,27.56438271,iFOREX,f8:d1:11:b1:92:93,PB2-690Y_device=PB2PRO,-91
Fri Dec 01 10:57:00 IST 2017,,34.8105797,32.16884222,31.0,DIRECT-a8-HPM477LaserJet,aa:6b:ad:04:c6:a8,model=Lenovo,-94
Fri Dec 01 10:57:00 IST 2017,,34.8121285943714,32.17000964010358,32.13853079075498,Candan,c0:ff:d4:7b:82:30,PB2-690Y_device=PB2PRO,-89
Fri Dec 01 10:57:00 IST 2017,,34.81066791,32.16876228,31.0,Levy,f8:ab:05:46:de:55,model=SM-G950F_device=dreamlte,-85
Fri Dec 01 10:57:00 IST 2017,,34.81142130774598,32.168800600402065,27.345797192825337,LRWN,ec:8c:a2:09:dd:48,model=Lenovo,-91
Fri Dec 01 10:57:00 IST 2017,,34.8112991,32.16875525,26.895184619999995,HOTBOX111,c0:ac:54:f6:ae:5e,PB2-690Y_device=PB2PRO,-77
Fri Dec 01 10:57:00 IST 2017,,34.81142130774598,32.168800600402065,27.345797192825337,LRWN,ec:8c:a2:09:dd:48,model=Lenovo,-86
Fri Dec 01 10:57:00 IST 2017,,34.81142130774598,32.168800600402065,27.345797192825337,LRWN,ec:8c:a2:09:dd:48,PB2-690Y_device=PB2PRO,-74
Fri Dec 01 10:57:00 IST 2017,,34.81142130774598,32.168800600402065,27.345797192825337,LRWN,ec:8c:a2:09:dd:48,model=SM-G950F_device=dreamlte,-59
